X1,X2,Y
99,0,1
28,56,1
84,21,0
0,35,1
42,77,0
32,2,1
12,1,1
30,14,1
17,2,1
23,66,1
16,52,1
81,99,0
61,12,1
60,88,0
38,4,1
81,85,0
4,81,1
20,78,1
9,1,1
92,59,0
82,62,0
43,52,1
7,36,1
98,20,0
27,30,1
21,90,0
25,95,0
26,92,0
93,47,0
93,81,0
7,20,1
50,91,0
68,16,1
75,22,1
16,28,1
41,69,0
16,95,0
69,7,1
66,11,1
44,48,1
81,38,0
72,4,1
74,41,0
67,87,0
7,81,1
24,44,1
39,6,1
14,83,1
92,56,0
9,62,1
34,38,1
79,28,0
93,32,0
23,75,1
51,13,1
16,88,0
0,4,1
19,52,1
86,9,1
97,40,0
0,35,1
29,55,1
0,17,1
48,82,0
55,54,0
29,5,1
17,44,1
88,42,0
83,26,0
61,20,1
27,27,1
37,69,0
91,30,0
32,10,1
0,86,1
80,17,1
8,7,1
71,25,1
3,9,1
71,43,0
78,35,0
66,40,0
99,1,0
26,93,0
11,42,1
6,5,1
2,62,1
56,23,1
100,68,0
21,21,1
45,30,1
78,95,0
7,47,1
33,84,0
41,31,1
40,22,1
55,84,0
46,0,1
34,47,1
